Title,Company,Project Type,Location,Contract Value,Date Published,Tag,Steel Requirements,Potential Value,Target Company,Urgency,Reasoning
PRESS RELEASE - KPIL AWARDED NEW ORDERS OF APPROX. RS. 621 CRORES,Kalpataru Projects International Ltd,Order/Contract,Gujarat,Rs. 621 crore,2025-03-31,Infrastructure-Contract_Won,"Structural steel for power transmission infrastructure including towers, conductors, and substation structures. Likely requirements for galvanized steel and high-strength alloys.",20-30%,Kalpataru Projects International Ltd (KPIL),medium,"KPIL is a known infrastructure EPC company specializing in power transmission (evident from former name 'Kalpataru Power Transmission Limited'). The ₹621 crore contract likely involves power transmission infrastructure requiring substantial structural steel. As a private contractor, KPIL would procure materials directly. Infrastructure projects of this scale typically allocate 20-30% of budget to steel. No explicit timeline mentioned, but contract awards typically trigger procurement within 3-6 months."
Order(S) Received During March 2025,NCC Limited,Order/Contract,Mumbai,"Rs. 5,773 crore",2025-03-31,Infrastructure-Contract_Won,"Structural steel for buildings (beams, columns), rebar for concrete structures in transportation projects (roads, bridges), and potential pipeline materials for water/environment projects. Quantities not specified but implied by large contract values across divisions.",15-20%,NCC Limited,medium,"1) Industry classification: Infrastructure (Transportation/Building/Water divisions all fall under construction/infrastructure). 2) Large contract value (₹5,773cr) indicates substantial material needs. 3) NCC (private EPC contractor) would procure materials, not government. 4) Building (₹2,139cr) and Transportation (₹2,686cr) divisions are steel-intensive. 5) No explicit timeline mentioned, but typical construction cycles suggest medium-term procurement needs."
Afcons Gets Environmental Nod for Raghavpur Dam Project in Madhya Pradesh.,Afcons Infrastructure Limited,Dam,"Dindori district, Madhya Pradesh",,2025-04-06,Infrastructure-Contract_Won,"Structural steel for dam construction (reinforcement bars, beams, plates), pipelines, and hydraulic gates. Quantities are unspecified but likely substantial given the scale of dam projects.",15-20% of total contract value (contract value not disclosed),Afcons Infrastructure Limited,medium,"The Raghavpur Dam Project falls under the infrastructure industry (specifically hydroelectric/civil infrastructure). Afcons, a private construction company, is the contractor, making them the direct purchaser of materials like steel. Dams require significant steel for structural components, reinforcements, and hydraulic systems. Environmental clearance typically precedes construction, indicating the project is moving toward the execution phase. While the contract value is unspecified, dam projects are inherently large-scale, implying meaningful steel demand. The urgency is medium as procurement timelines depend on construction milestones post-clearance."
"BHEL Secures Contract for ±800 kV, 6000 MW Bhadla-Fatehpur HVDC Terminal and AC Transmission.",Bharat Heavy Electricals Limited (BHEL),Transmission,Rajasthan,,2025-04-06,Renewable_Energy-Contract_Won,"Structural steel for HVDC/AC transmission towers, galvanized steel for conductor supports, and steel components for substations. Quantities likely substantial given the 6000 MW capacity and ±800 kV infrastructure.",15-20% (assumed from typical steel allocation in large transmission projects),Bharat Heavy Electricals Limited (BHEL),medium,"1. Industry classification: Renewable Energy (HVDC systems are critical for long-distance renewable energy transmission). Sub-category: Contract_Won (explicitly mentioned).
2. Steel requirement: Transmission towers and substations require structural steel. BHEL (a manufacturing company, not a government entity) will procure materials.
3. Target: BHEL is the contractor, not the government.
4. Urgency: Medium as project execution will follow contract award, but procurement timelines for transmission projects are typically phased."
Sir Ganga Ram Hospital expansion planned in New Delhi,Sir Ganga Ram Hospital,Hospital,New Delhi,,2025-04-05,Realty-Announced,"Structural steel for building framework, reinforced steel bars (rebar) for concrete foundations/floors, steel cladding/roofing systems, and possibly stainless steel for medical equipment installations.",15-20%,Sir Ganga Ram Hospital,medium,"Hospital expansion falls under Realty (construction/real estate development). While the government often funds healthcare projects, the hospital itself is a private trust-operated institution responsible for procurement. Large hospital expansions typically require substantial steel for structural frameworks (beams/columns), rebar for concrete work, and roofing systems. Though no contract value is specified, hospital projects in urban centers like New Delhi often involve budgets exceeding $50M, justifying steel sales opportunities. The 2025-04-05 date likely indicates planning stage (medium urgency) rather than immediate procurement."
DRA Infracon Awarded Guwahati Ring Road’s Construction Contract,Dineshchandra R Agrawal Infracon Pvt. Ltd (DRAIPL),Ring Road,"Guwahati, Assam","Rs. 5,729 crore",2025-04-06,Infrastructure-Contract_Won,"Structural steel for bridges, rebar for concrete reinforcement, guardrails, and steel culverts. A 121km ring road would require thousands of tons of steel for reinforcements and structural components.",18-22% of contract value,Dineshchandra R Agrawal Infracon Pvt. Ltd (DRAIPL),medium,"1) Infrastructure project (road construction) requiring structural steel for bridges, reinforcements, and safety features. 2) DRAIPL as contractor (private company) would procure materials. 3) Rs 5,729cr contract size suggests material-heavy project. 4) Typical steel allocation in road projects ranges 15-25%. 5) Medium urgency as procurement would follow contract award but might have phased requirements."
Godrej & SSCONS Awarded Delhi Metro Golden Line’s Architectural Finishing Contracts,Godrej & Boyce Mfg. Co. Ltd. and SS.SS. Constructions Pvt. Ltd. (SSCONS),Metro,Delhi,,2025-04-04,Infrastructure-Contract_Won,"Architectural steel components (cladding, decorative panels, structural supports for interiors/stations), stainless steel for finishes, and potential reinforcement for composite materials",15-25% of contract value (exact value undisclosed),Godrej & Boyce Mfg. Co. Ltd. and SSCONS Pvt. Ltd. (jointly as contractors),medium,"1) Industry classification: Metro projects fall under Infrastructure. Contract award to private contractors justifies 'Contract_Won' sub-category. 2) Architectural finishing in large metro systems requires steel for cladding, structural supports, and decorative elements. 3) Target companies are the contractors (not Delhi Metro government entity) responsible for material procurement. 4) No explicit timeline, but metro projects typically have phased material procurement. 5) Contract value significance implied by metro project scale, though exact steel quantities depend on finishing specifications."
Nagpur Metro Phase 2: KPIL & GRIL Cast 1st Segments for Packages C-11 & C-02,Kalpataru Projects International Ltd. (KPIL) and GR Infraprojects Ltd. (GRIL),Metro,Nagpur,,2025-03-30,Infrastructure-Contract_Won,"Structural steel for viaducts/guideways, rebar for concrete segments, rail tracks, and station construction. Segments casting specifically implies pre-stressed concrete steel consumption.",20-30%,Kalpataru Projects International Ltd. (KPIL) and GR Infraprojects Ltd. (GRIL),medium,"1. Metro rail construction (Infrastructure industry) requires substantial steel for viaducts, stations, and tracks. 2. KPIL/GRIL (private EPC contractors) will procure materials, not the government. 3. Segment casting confirms active construction phase requiring continuous steel supply. 4. Typical metro projects allocate ~20-30% of contract value to steel. 5. Medium urgency as segment production has started but full construction will require phased steel deliveries."
Bangalore Metro: BEML to Supply 42 Additional Coaches for Pink Line,BEML,Metro,Bangalore,,2025-03-29,Infrastructure-Contract_Won,"Metro coaches require substantial steel for structural components, body shells, bogies, and underframes. The 42 coaches will likely use high-grade steel for durability and safety compliance.","20-30% (estimated, as rolling stock contracts typically allocate ~25% to raw materials like steel)",BEML,medium,"1. Industry classification: Metro projects fall under Infrastructure. BEML (a corporate entity) winning a rolling stock contract qualifies for Infrastructure-Contract_Won. 2. Steel demand: Each metro coach requires 8-12 tons of steel. 42 coaches = ~378-504 tons steel demand. 3. Target: BEML (manufacturer) would procure steel, not the government. 4. Timeline: Contract award in 2025 suggests production planning phase = medium urgency for supplier engagement."
Titagarh Wins Mumbai Metro Line-6’s 108 Coach & Signaling Contract CA-232,Titagarh Rail Systems,Metro,Mumbai,,2025-03-29,Infrastructure-Contract_Won,"Structural steel for metro coach bodies, bogies, and underframe components. Signaling infrastructure may require smaller steel components.",20-30% (coach manufacturing typically involves significant steel content),Titagarh Rail Systems,medium,"1. Infrastructure classification: Metro systems fall under urban transportation infrastructure. 2. Significant steel needs: Each metro coach typically requires 12-15 tons of steel. 108 coaches would need ~1,300-1,600 tons. 3. Target company: Titagarh (manufacturer) would procure steel, not government. 4. Timeline: Project completion by 2025 suggests procurement phase likely underway. 5. Contract scale: Coach contracts of this size imply substantial material requirements."
